city,area
Hyderabad,"Hi-Tech City"
Jaisalmer,"Barmer Road"
Jaipur,Sitapura
Gandhinagar,"Sector 25"
Goa,"Panjim Area"
Rishikesh,"Neelkhanth Road"
Ernakulam,"Willingdon Island"
Hubli,"Airport Area, Gokul Road"
Delhi,"Delhi Airport, Mahipalpur, Aerocity"
Chandigarh,Others
Tirupati,"Old Tirchanoor Road"
Indore,"Vijay Nagar"
Lonavala,"Tungarli Lake Area"
Bangalore,"City Center - MG Road / Near"
Munnar,Chinnakanal
Jaipur,"Amer Road"
Sirsa,"Radha Swami Satsang Garh,Nh-10"
Munnar,Chithirapuram
Bhimtal,"T.R.C. Area"
Corbett,"Village Semal Khalia"
Mysore,"Hebbal Near Infosys"
