address,area,city,country,crawl_date,guest_recommendation,hotel_brand,hotel_category,hotel_star_rating,image_count,latitude,locality,longitude,point_of_interest,property_id,property_name,property_type,province,query_time_stamp,review_count_by_category,room_area,room_count,room_type,site_review_count,site_review_rating,site_stay_review_rating,sitename,state,uniq_id
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,India,24-07-2016,85,null,gostays,2,20,32.1393865,Others,77.1546599,Hadimba Temple|Naggar Village|Himalayan Nyingmapa Gompa|Tibetan Monasteries|Naggar|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Others|Arjun Gufa|Nehru Kund|Beas Kund|Club House,HTLGBO1000016238,Baragarh Regency,Resort,Manali,2016-07-24 01:12:30 +0000,positive reviews::74|critical reviews::13|reviews with images::13,,17,Deluxe Room,87,4,Service Quality::3.9|Amenities::3.7|Food and Drinks::3.8|Value for Money::4.1|Location::4.0|Cleanliness::4.1,goibibo,Himachal Pradesh,2c8db027d43a9452a43e88eb30d9f983
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,India,24-07-2016,87,null,regular,0,17,28.4720966,Sushant Lok,77.0725457,Sushant Lok|Sahara Mall|Amity International School,HTLGBO1000015822,Asian Suites A- 585,Guest House,Gurgaon,2016-07-24 01:12:30 +0000,positive reviews::8|critical reviews::0|reviews with images::2,14 X 12 Sq.ft.,18,Deluxe Room With Free WIFI,8,4.5,Service Quality::4.7|Amenities::4.7|Food and Drinks::4.3|Value for Money::4.7|Location::4.8|Cleanliness::4.8,goibibo,Haryana,e98f69f889c0235e6dc480e7df6de0de
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,India,24-07-2016,50,null,regular,0,28,15.54839798,Calangute Area,73.75763376,"Anjuna Beach|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Area|North Goa|Calangute Bus Stand|Candolim Beach",HTLGBO1000004551,Bevvan Resort,Resort,Goa,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::1|reviews with images::1,,15,Standard Room,2,2.5,Service Quality::2.5|Amenities::2.5|Food and Drinks::1.0|Value for Money::2.5|Location::2.5|Cleanliness::1.0,goibibo,Goa,9b59d00eaffc273d83000ed7dcda0e83
Simsa,Village Simsa,Manali,India,24-07-2016,100,null,regular,2,4,32.2236026,Village Simsa,77.1858995,The Mall|Tibetian Monastery|Vashisht Hot Baths|Jagatsuhk|Village Simsa|Chandrakhani Pass|Manali 1st Super Market,HTLGBO1000007993,Apple Inn Cottage,Cottage,Manali,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::0|reviews with images::0,,24,Deluxe Room,1,5,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,goibibo,Himachal Pradesh,df0971f9c5501af112485ee28b468ce5
"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,India,24-07-2016,63,null,regular,2,6,28.6467775,Paharganj,77.2127353,Gaffar Market|YMCA Institute|Agrasen Boali|Chandni Chowk|Shivaji Stadium|Paharganj|Jantar Mantar|Talkatora Indoor Stadium|Central Delhi|Ajmeri Gate|Karnail Singh Stadium,HTLGBO1000008281,Anmol Hotel Pvt.Ltd,Hotel,Delhi,2016-07-24 01:12:30 +0000,positive reviews::56|critical reviews::65|reviews with images::17,14 X 14 Sq.ft.,20,Standard Room Non AC,121,2.8,Service Quality::2.7|Amenities::2.6|Food and Drinks::2.5|Value for Money::2.9|Location::2.9|Cleanliness::2.6,goibibo,Delhi,0c3514344c9cda8718f558e84bdb44ef
"Baga Beach, Calangute, Goa",Baga Area,Goa,India,24-07-2016,68,null,regular,3,12,15.56092347,Baga Area,73.74975872,"North Goa|Calangute Beach|Baga Area|Anjuna Beach|Titos lane, baga|Baga Beach|Calangute Bus Stand|Anjuna Beach Bus Stop",HTLGBO1000002591,Baia Do Sol (A Boutique Beach Resort),Resort,Goa,2016-07-24 01:12:30 +0000,positive reviews::14|critical reviews::2|reviews with images::3,,15,Semi Deluxe,16,3.9,Service Quality::3.9|Amenities::3.8|Food and Drinks::4.7|Value for Money::3.9|Location::4.4|Cleanliness::4.6,goibibo,Goa,9250fc9e71eb1b99830b039492310c60
"K-69, Kalkaji",Kalkaji,Delhi,India,24-07-2016,,null,regular,2,3,28.5403197,Kalkaji,77.2613326,Tughlakabad Fort|South Delhi|Masjid Moth|IIBMS|Lotus Temple|District Court Saket|Lajpat Nagar Market|Indraprastha Apollo Hospitals|Jamia Millia Islamia|Moolchand Medcity|ISKCON Temple|Lajpat Nagar|Batra Hospital &amp; Medical Research Centre|Fortis La Femme|Fortis Escorts Heart Institute &amp; Research Centre|Pushpawati Singhania Research Institute|Siri Fort|Kalkaji|Batra Hospital & Medical Research Centre|Fortis Escorts Heart Institute & Research Centre,HTLGBO1000016284,Balaji Residency,Hotel,Delhi,2016-07-24 01:12:30 +0000,,,10,Deluxe A/C Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Delhi,815a2a40bc6cc2b3161553cb67a33b03
"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,India,24-07-2016,76,null,gostays,3,20,28.65058813,Karol Bagh Area,77.194692,International Airport|Domestic Airport|New Delhi Railway Station|India Gate|Red Fort|Lotus Temple|Nehru Place|Connaught Place|Jantar Mantar|Qutab Minar|Gurgaon|Birla Mandir|Karol Bagh Metro Station|Noida|Liberty Theatre|Jhandewalan Mandir|Gaffar Market|Shivaji Stadium|Karol Bagh Area|Talkatora Indoor Stadium|Sarai Rohilla Station|Ajmeri Gate|Karnail Singh Stadium|West Delhi,HTLGBO1000000104,BB Palace-A Boutique Hotel,Hotel,Delhi,2016-07-24 01:12:30 +0000,positive reviews::452|critical reviews::98|reviews with images::58,21 X 21 Sq.ft.,24,Club Room,550,4,Service Quality::4.0|Amenities::3.9|Food and Drinks::4.1|Value for Money::4.0|Location::4.0|Cleanliness::4.1,goibibo,Delhi,04e102bdd434eaeec45f095aac031106
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,India,24-07-2016,0,null,regular,1,5,26.9047751,Others,75.7488641,Others|K.L. Saini Stadium|BAPS Shri Swaminarayan Mandir,HTLGBO1000061958,Art Inn Homestay,Homestay,Jaipur,2016-07-24 01:12:30 +0000,positive reviews::1|critical reviews::0|reviews with images::0,,2,Standared Room,1,3,Service Quality::4.0|Amenities::2.0|Food and Drinks::3.0|Value for Money::1.0|Location::4.0|Cleanliness::3.0,goibibo,Rajasthan,059fa03383171456eb56f4503d499f6f
51 Amri Nagar south ex,South Extension,Delhi,India,24-07-2016,,null,regular,0,6,28.5732907,South Extension,77.2219418,Safdarjung Station|Hungary Embassy|Dilli Haat|AIIMS|R. K. Khanna Tennis Stadium|Khan Market|ISKCON Temple|AASHLOK Hospital|Thyagaraj Sports Complex|Japanese Embassy|INA Market|French Cultural Center in India|South Extension|Hauz Khas|Lajpat Nagar Market|Embassy of Spain|Lajpat Nagar|Lodhi Gardens|Metro Station Hauz Khas|Deer Park|Embassy of The Arab Republic of Egypt|Masjid Moth|Hazrat Nizammudin Railway Station|Ethiopia Embassy|Humayuns Tomb|Jawaharlal Nehru Stadium|Moolchand Medcity|Sarojini Nagar Market|Safdarjang Hospital|Embassy of Israel|Siri Fort|Brazil Embassy,HTLGBO1000073032,Arjun Homestay,Homestay,Delhi,2016-07-24 01:12:30 +0000,,,4,Deluxe,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Delhi,78e97b94135c33b231335c42695149ed
